iter	Passed	Remaining
0	4	4404
1	9	4878
2	15	4994
3	19	4957
4	24	4883
5	31	5164
6	36	5247
7	42	5222
8	48	5306
9	53	5296
10	58	5238
11	64	5282
12	69	5275
13	74	5212
14	79	5245
15	86	5296
16	90	5237
17	95	5200
18	100	5170
19	103	5095
20	109	5115
21	114	5101
22	120	5109
23	126	5125
24	131	5124
25	136	5119
26	151	5476
27	156	5443
28	162	5435
29	167	5410
30	172	5379
31	176	5336
32	180	5300
33	185	5259
34	191	5275
35	197	5278
36	202	5262
37	207	5243
38	212	5234
39	217	5212
40	223	5235
41	228	5220
42	233	5193
43	238	5174
44	244	5182
45	248	5159
46	253	5134
47	258	5132
48	264	5130
49	268	5110
50	274	5112
51	280	5109
52	285	5102
53	290	5080
54	295	5074
55	300	5069
56	307	5089
57	312	5076
58	317	5061
59	325	5093
60	330	5086
61	335	5077
62	340	5066
63	344	5044
64	349	5030
65	356	5044
66	361	5039
67	366	5027
68	373	5044
69	379	5036
70	384	5027
71	390	5033
72	395	5021
73	402	5042
74	408	5036
75	413	5030
76	417	5005
77	422	4988
78	427	4979
79	436	5014
80	441	5008
81	446	4997
82	453	5007
83	459	5008
84	465	5008
85	471	5011
86	476	5000
87	481	4989
88	486	4974
89	490	4960
90	495	4944
91	501	4947
92	506	4938
93	510	4921
94	514	4901
95	518	4887
96	523	4872
97	528	4867
98	534	4866
99	540	4862
100	545	4853
101	550	4842
102	555	4838
103	561	4837
104	567	4840
105	572	4830
106	577	4816
107	581	4800
108	585	4788
109	589	4772
110	595	4771
111	601	4766
112	606	4758
113	613	4767
114	619	4769
115	624	4760
116	628	4745
117	633	4731
118	637	4717
119	642	4708
120	647	4705
121	652	4696
122	657	4685
123	660	4669
124	665	4655
125	669	4641
126	674	4636
127	680	4634
128	685	4625
129	689	4614
130	693	4602
131	698	4592
132	702	4579
133	709	4583
134	715	4584
135	721	4580
136	727	4583
137	735	4593
138	741	4595
139	748	4595
140	753	4587
141	758	4584
142	764	4580
143	768	4568
144	774	4566
145	780	4567
146	784	4554
147	790	4553
148	797	4553
149	802	4546
150	807	4537
151	811	4527
152	815	4516
153	820	4508
154	826	4508
155	832	4506
156	840	4515
157	848	4519
158	853	4513
159	857	4503
160	862	4496
161	867	4489
162	873	4485
163	878	4476
164	882	4466
165	888	4466
166	896	4469
167	901	4462
168	906	4456
169	912	4453
170	916	4444
171	920	4431
172	924	4420
173	928	4409
174	934	4403
175	940	4403
176	945	4395
177	950	4387
178	955	4380
179	959	4372
180	964	4365
181	970	4360
182	974	4352
183	979	4344
184	984	4336
185	988	4327
186	993	4318
187	1001	4326
188	1006	4320
189	1010	4309
190	1016	4305
191	1023	4307
192	1029	4303
193	1035	4301
194	1040	4296
195	1045	4287
196	1050	4282
197	1056	4278
198	1060	4268
199	1066	4267
200	1072	4264
201	1077	4258
202	1082	4249
203	1087	4243
204	1093	4238
205	1100	4242
206	1106	4237
207	1111	4231
